ref	pos	stat
cc6m_2244_T7_ecorv	30	0
cc6m_2244_T7_ecorv	31	0
cc6m_2244_T7_ecorv	32	0
cc6m_2244_T7_ecorv	33	0
cc6m_2244_T7_ecorv	34	0.25
cc6m_2244_T7_ecorv	35	0
cc6m_2244_T7_ecorv	36	0.02326
cc6m_2244_T7_ecorv	37	0
cc6m_2244_T7_ecorv	38	0
cc6m_2244_T7_ecorv	39	0
cc6m_2244_T7_ecorv	40	0.19383
cc6m_2244_T7_ecorv	41	0.00379
cc6m_2244_T7_ecorv	42	0.01115
cc6m_2244_T7_ecorv	43	0.00372
cc6m_2244_T7_ecorv	44	0.00370621288805643
cc6m_2244_T7_ecorv	45	0
cc6m_2244_T7_ecorv	46	0.01111
cc6m_2244_T7_ecorv	47	0.00737272093254957
cc6m_2244_T7_ecorv	48	0.00367643395869243
cc6m_2244_T7_ecorv	49	0.01845
cc6m_2244_T7_ecorv	50	0
cc6m_2244_T7_ecorv	51	0.01103
cc6m_2244_T7_ecorv	52	0.0559407305962129
cc6m_2244_T7_ecorv	53	0.0218193327596609
cc6m_2244_T7_ecorv	54	0.132143655103409
cc6m_2244_T7_ecorv	55	0.55474706162643
cc6m_2244_T7_ecorv	56	0.332118925894674
cc6m_2244_T7_ecorv	57	0.223447712418301
cc6m_2244_T7_ecorv	58	0.201444128092988
cc6m_2244_T7_ecorv	59	0.333336618344157
cc6m_2244_T7_ecorv	60	0.313380755551283
cc6m_2244_T7_ecorv	61	0.189964578563181
cc6m_2244_T7_ecorv	62	0.252636638946306
cc6m_2244_T7_ecorv	63	0.317691280478758
cc6m_2244_T7_ecorv	64	0.28467
cc6m_2244_T7_ecorv	65	0.130912170577393
cc6m_2244_T7_ecorv	66	0.157348150986779
cc6m_2244_T7_ecorv	67	0.36425524702692
cc6m_2244_T7_ecorv	68	0.0581870354502521
cc6m_2244_T7_ecorv	69	0.01825
cc6m_2244_T7_ecorv	70	0.0755462690097673
cc6m_2244_T7_ecorv	71	0.0724610344485258
cc6m_2244_T7_ecorv	72	0.146754072605532
cc6m_2244_T7_ecorv	73	0.0575596294106052
cc6m_2244_T7_ecorv	74	0.47636128132317
cc6m_2244_T7_ecorv	75	0.427046124034801
cc6m_2244_T7_ecorv	76	0.482015388433855
cc6m_2244_T7_ecorv	77	0.0719402955331254
cc6m_2244_T7_ecorv	78	0.104313428523032
cc6m_2244_T7_ecorv	79	0.05036
cc6m_2244_T7_ecorv	80	0.0992926045016077
cc6m_2244_T7_ecorv	81	0.0785595424335123
cc6m_2244_T7_ecorv	82	0.0425525599802127
cc6m_2244_T7_ecorv	83	0.05735
cc6m_2244_T7_ecorv	84	0.128569720400965
cc6m_2244_T7_ecorv	85	0.166666666666667
cc6m_2244_T7_ecorv	86	0.0212742636215074
cc6m_2244_T7_ecorv	87	0.0281702727660884
cc6m_2244_T7_ecorv	88	0.0245586954800918
cc6m_2244_T7_ecorv	89	0.02482
cc6m_2244_T7_ecorv	90	0.0279634778836104
cc6m_2244_T7_ecorv	91	0.0899955820008836
cc6m_2244_T7_ecorv	92	0.100700620043826
cc6m_2244_T7_ecorv	93	0.0487807283089939
cc6m_2244_T7_ecorv	94	0.268849629780838
cc6m_2244_T7_ecorv	95	0.248570851020821
cc6m_2244_T7_ecorv	96	0.087728879532907
cc6m_2244_T7_ecorv	97	0.173004044301256
cc6m_2244_T7_ecorv	98	0.213289135167227
cc6m_2244_T7_ecorv	99	0.182460007745241
cc6m_2244_T7_ecorv	100	0.14488
cc6m_2244_T7_ecorv	101	0.0454500317762949
cc6m_2244_T7_ecorv	102	0.114189129430725
cc6m_2244_T7_ecorv	103	0.155179505258828
cc6m_2244_T7_ecorv	104	0.267100223870932
cc6m_2244_T7_ecorv	105	0.05634
cc6m_2244_T7_ecorv	106	0.180558716713012
cc6m_2244_T7_ecorv	107	0.139867665816327
cc6m_2244_T7_ecorv	108	0.03509
cc6m_2244_T7_ecorv	109	0.01404
cc6m_2244_T7_ecorv	110	0.041383715787922
cc6m_2244_T7_ecorv	111	0.0415269614610863
cc6m_2244_T7_ecorv	112	0.105808886467979
cc6m_2244_T7_ecorv	113	0.188118439369427
cc6m_2244_T7_ecorv	114	0.339043101428906
cc6m_2244_T7_ecorv	115	0.19587679349689
cc6m_2244_T7_ecorv	116	0.149307788982019
cc6m_2244_T7_ecorv	117	0.142354938976554
cc6m_2244_T7_ecorv	118	0.312495655368971
cc6m_2244_T7_ecorv	119	0.361105869968917
cc6m_2244_T7_ecorv	120	0.0624931727226685
cc6m_2244_T7_ecorv	121	0.0629306293062931
cc6m_2244_T7_ecorv	122	0.0379392301699228
cc6m_2244_T7_ecorv	123	0.0673400997631108
cc6m_2244_T7_ecorv	124	0.1979922453837
cc6m_2244_T7_ecorv	125	0.11888
cc6m_2244_T7_ecorv	126	0.05594
cc6m_2244_T7_ecorv	127	0.0208246439849848
cc6m_2244_T7_ecorv	128	0.0508497581122088
cc6m_2244_T7_ecorv	129	0.448505867262103
cc6m_2244_T7_ecorv	130	0.119041596949298
cc6m_2244_T7_ecorv	131	0.301695638263837
cc6m_2244_T7_ecorv	132	0.438358847784993
cc6m_2244_T7_ecorv	133	0.195876086016433
cc6m_2244_T7_ecorv	134	0.530406972250135
cc6m_2244_T7_ecorv	135	0.348270572517195
cc6m_2244_T7_ecorv	136	0.15331
cc6m_2244_T7_ecorv	137	0.128027647298331
cc6m_2244_T7_ecorv	138	0.378011124087013
cc6m_2244_T7_ecorv	139	0.0743199703188768
cc6m_2244_T7_ecorv	140	0.116432594000218
cc6m_2244_T7_ecorv	141	0.137450218986801
cc6m_2244_T7_ecorv	142	0.0850289983289099
cc6m_2244_T7_ecorv	143	0.117090257263839
cc6m_2244_T7_ecorv	144	0.112950303402719
cc6m_2244_T7_ecorv	145	0.339999614665819
cc6m_2244_T7_ecorv	146	0.219182691831867
cc6m_2244_T7_ecorv	147	0.106897065395501
cc6m_2244_T7_ecorv	148	0.164481412709841
cc6m_2244_T7_ecorv	149	0.24306
cc6m_2244_T7_ecorv	150	0.08333
cc6m_2244_T7_ecorv	151	0.0899678116934238
cc6m_2244_T7_ecorv	152	0.04167
cc6m_2244_T7_ecorv	153	0.0650662300644054
cc6m_2244_T7_ecorv	154	0.115896281744404
cc6m_2244_T7_ecorv	155	0.150004783315795
cc6m_2244_T7_ecorv	156	0.159722568236853
cc6m_2244_T7_ecorv	157	0.607635428708096
